,1990,1995,2000,2005,2010,2015,2020
Iraq,0.5,1,0.9,0.5,0.4,1,0.9
Israel,36.7,34,31.1,28.9,26.6,25.2,22.6
Jordan,32.1,33.5,37.6,38.1,38.4,34.2,33.9
Kuwait,51.3,57.4,55.1,58.7,62.7,74.7,72.8
Lebanon,18.7,17.2,18,15.8,16,29.3,25.1
Oman,16.8,24.5,27.5,26.5,26.8,43.5,46.5
Qatar,65,70.4,60.7,74.6,78.5,65.8,77.3
Saudi Arabia,30.8,27.5,25.5,27.3,30.7,34,38.6
State of Palestine,13.7,10.8,8.5,7.7,6.8,6,5.3
Syrian Arab Republic,5.7,5.8,5.1,4.8,8.3,4.6,5
Turkey,2.2,2.1,2,1.9,1.9,5.5,7.2
United Arab Emirates,71.5,75.5,78.1,71.5,85.6,86.3,88.1
Yemen,1,0.9,0.8,0.9,1.2,1.4,1.3
Belarus,12.3,11.8,11.4,11.6,11.6,11.5,11.3
Bulgaria,0.2,0.4,0.5,0.8,1,1.7,2.7
Czechia,1.1,1.6,2.1,3.1,3.8,3.9,5.1
Hungary,3.3,3.1,2.9,3.6,4.4,4.9,6.1
Poland,3,2.5,2.1,1.9,1.7,1.6,2.2
Republic of Moldova,12.5,8.5,5.9,4.1,3.2,2.6,2.6
Romania,0.6,0.6,0.6,0.7,0.9,1.4,3.7
Russian Federation,7.8,8,8.1,8.1,7.8,8,8
Slovakia,0.8,1.3,2.2,2.4,2.7,3.3,3.6
Ukraine,13.4,12.1,11.3,10.8,10.5,10.9,11.4
Channel Islands,43.8,42.2,43.3,46.8,48.6,49.8,48.4
Denmark,4.6,5.8,6.9,8.1,9,10.5,12.4
Estonia,24.4,22,17.8,17.2,16.4,14.8,15
Faroe Islands,9.1,6.4,7.7,9.6,10.7,11.4,13.9
Finland,1.3,1.9,2.6,3.7,4.3,5.7,7
Iceland,3.8,4.8,5.7,8.6,11,11.8,19.2
Ireland,6.5,6.3,9.3,14.2,16,16.3,17.6
Isle of Man,49.5,51.1,50.7,51.7,51.2,50.7,50.6
Latvia,24.2,21.5,18,16.7,14.8,13.3,12.7
Lithuania,9.4,7.5,6.1,6,5.1,4.6,5.3
Norway,4.5,5.3,6.5,7.8,10.7,14.4,15.7
Sweden,9.2,10.6,11.3,12.5,14.2,16.4,19.8
United Kingdom,6.4,7.2,8,9.8,11.2,12.8,13.8
Albania,2,2.3,2.5,2.1,1.8,1.8,1.7
Andorra,71.3,69.2,64.5,63.8,61.6,54.2,59
Bosnia and Herzegovina,1.3,1.8,2.2,1.3,1.1,1.1,1.1
Croatia,10,14.6,13.2,13.2,13.2,13.3,12.9
Gibraltar,29.9,29.2,25.9,27.7,30.9,32.8,33.2
Greece,6,8,10,10.6,12.1,11.7,12.9
Holy See,100,100,100,100,100,100,100
Italy,2.5,3.1,3.7,6.8,9.8,9.6,10.6
Malta,4.2,4.7,5.5,6.1,8,12.1,26
Montenegro,..,..,..,..,12.6,11.4,11.3
North Macedonia,4.8,5.5,6.2,6.2,6.3,6.3,6.3
Portugal,4.4,5.3,6.3,7.3,7.2,8.3,9.8
San Marino,13.7,14.1,14.7,14.4,15.6,15.6,16.3
Serbia,1,8.8,10.3,9.3,9.2,9.1,9.4
Slovenia,8.9,8.8,10.8,10.9,12.4,11.5,13.4
Spain,2.1,2.6,4.1,9.3,13.4,12.6,14.6
Austria,10.3,11.2,12.3,13.7,15.2,17.1,19.3
Belgium,12.8,12.6,12.3,11.8,13.7,15.8,17.3
France,10.4,10.5,10.6,11,11.6,12.2,13.1
Germany,7.5,9.2,11,11.5,12.1,12.5,18.8
Liechtenstein,37.9,43.1,46.7,54.4,62.1,63.5,67.9
Luxembourg,29.8,30.9,32,32.9,32.1,43.9,47.6
Monaco,69.2,68.5,67.8,63,59.3,68.9,67.8
Netherlands,7.9,8.7,9.8,10.6,11,11.8,13.8
Switzerland,20.9,21.1,22,24.4,26.6,27.2,28.8
Anguilla,28.9,33.6,36.1,37.6,38,38.3,38.1
Antigua and Barbuda,19.2,25.6,30.4,30.4,30,30,30
Aruba,23.2,27.7,33.1,32.5,33.8,34.6,50.2
Bahamas,10.5,11.3,12.2,14,15.4,15.8,16.2
Barbados,9.2,9.9,10.5,11.1,11.6,12.1,12.1
"Bonaire, Sint Eustatius and Saba",100,100,100,100,100,100,100
British Virgin Islands,45.9,52,63.8,65,61.4,67,73.3
Cayman Islands,36.8,39.4,45.3,42,42.5,42.4,44.5
Cuba,0.3,0.2,0.2,0.1,0.1,0,0
Curaçao,..,..,..,..,23.2,23.5,34.9
Dominica,3.6,4.4,5.3,6.7,11.4,11.4,11.5
Dominican Republic,4.1,4.1,4.2,4.1,4.1,5.3,5.6
Grenada,4.4,5.5,6.6,6.6,6.6,6.4,6.4
Guadeloupe,16.9,18.5,19.7,22.1,23.4,22.7,22.5
Haiti,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Jamaica,0.8,0.9,0.9,0.9,0.8,0.8,0.8
Martinique,10.8,12.6,14.1,14.4,15.1,18.3,18.3
Montserrat,19,16.4,24.6,25.7,26.4,27.2,27.6
Puerto Rico,9.5,9.5,9.7,9.7,8.5,8.3,8.6
Saint Barthélemy,..,..,..,..,..,..,..
Saint Kitts and Nevis,8,10.1,13.3,14.3,14.8,14.5,14.5
Saint Lucia,3.8,4.9,6.3,6,5.2,4.8,4.5
Saint Martin (French part),..,..,..,..,..,..,..
Saint Vincent and the Grenadines,3.7,3.8,4,4.1,4.2,4.2,4.3
Sint Maarten (Dutch part),..,..,..,39.2,76.7,68.3,67.3
Trinidad and Tobago,4.1,3.7,3.3,3.5,3.6,3.7,5.6
Turks and Caicos Islands,41.8,43.4,44.7,46.5,52.7,63.2,66.5
United States Virgin Islands,50.1,50.5,52.1,52.5,53.4,54,54.3
