,Homosexuality,Gay Marriage,Censorship,Changing Gender,Gender-Affirming Care,Non-Binary Gender Recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Intersex Infant Surgery,Military,Donating Blood,Conversion Therapy,Age of Consent
antarctica,✔ Legal,Varies by Region,✔ No censorship,N/A,✔ Legal,✔ Recognized,N/A,N/A,N/A,N/A,Unknown,N/A,✔ Legal,N/A,✔ Equal
turkmenistan,"✖ Male illegal, female legal",✖ Unrecognized,Ambiguous,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Gender identity only,✖ No protections,✖ Single only,Unknown,Ambiguous,✔ Legal with restrictions,✖ Sexual orientation only,"Female equal, male N/A"
uzbekistan,"✖ Male illegal, female legal",✖ Banned,✖ State-enforced,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,"Female equal, male N/A"
grenada,"✖ Male illegal, female legal",✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,✔ Equal
jamaica,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,✔ Legal,✔ Legal,Ambiguous,N/A
saint-lucia,"✖ Male illegal, female legal",✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,"Female equal, male N/A"
swaziland,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,"Female equal, male N/A"
namibia,"✖ Male illegal, female legal",✖ Foreign same-sex marriages recognized only,✔ No censorship,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✔ Legal,Unknown,Ambiguous,✔ Legal,✖ Not banned,"Female equal, male N/A"
sierra-leone,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ Illegal in some contexts,Ambiguous,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
zimbabwe,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,"✖ Legal, but requires surgery","✖ Legal, but restricted for minors",✖ Not legally recognized,✖ No protections,Ambiguous,Ambiguous,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,"Female equal, male N/A"
kiribati,"✖ Male illegal, female legal",✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,Ambiguous
papua-new-guinea,"✖ Male illegal, female legal",✖ Unrecognized,✔ No censorship,✖ Illegal,"✖ Legal, but restricted for minors",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✔ Legal,✔ Legal,✖ Not banned,"Female equal, male N/A"
samoa,"✖ Male illegal, female legal",✖ Unrecognized,✔ No censorship,Ambiguous,Unknown,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,Ambiguous,✖ Single only,Unknown,N/A,✖ Banned (1-year deferral),✔ Banned,✔ Equal
tonga,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,Ambiguous,✖ Illegal,Unknown,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
tuvalu,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,Ambiguous
guyana,"✖ Male illegal, female legal",✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,N/A
iraq,✖ Illegal (imprisonment as punishment),✖ Unrecognized,✖ Imprisonment as punishment,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (1-year deferral),✖ Not banned,N/A
kuwait,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,N/A,Unknown,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,N/A
malaysia,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
maldives,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,N/A
myanmar,✖ Illegal (imprisonment as punishment),✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
oman,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,Ambiguous,✖ No protections,✖ Illegal,Unknown,Ambiguous,✖ Banned (indefinite deferral),✖ Not banned,N/A
pakistan,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Imprisonment as punishment,"✔ Legal, no restrictions","✖ Legal, but restricted for minors",✔ Recognized,✖ Illegal in some contexts,✖ Gender identity only,✖ Gender identity only,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
qatar,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
sri-lanka,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
syria,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✖ Not banned,N/A
saint-vincent-and-the-grenadines,✖ Illegal (imprisonment as punishment),✖ Foreign same-sex marriages recognized only,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,Ambiguous,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,N/A
algeria,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
burundi,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Fine as punishment,✖ Illegal,"✖ Legal, but banned for minors",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
cameroon,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,Unknown,✖ Not banned,N/A
chad,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
comoros,✖ Illegal (imprisonment as punishment),✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
eritrea,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
ethiopia,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,Unknown,✖ Not banned,N/A
ghana,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
guinea,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
kenya,✖ Illegal (imprisonment as punishment),✖ Banned,✖ State-enforced,Ambiguous,✖ Restricted,✖ Intersex only,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Illegal,✔ Full ban,✖ Illegal,✔ Legal,✖ Not banned,N/A
liberia,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,"✖ Legal, but banned for minors",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,Unknown,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,N/A
libya,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
malawi,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ Illegal in some contexts,Ambiguous,Ambiguous,✖ Single only,Unknown,✖ Illegal,N/A,✖ Not banned,N/A
morocco,✖ Illegal (imprisonment as punishment),✖ Unrecognized,✖ State-enforced,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
senegal,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
south-sudan,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
togo,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,Ambiguous,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
tunisia,✖ Illegal (imprisonment as punishment),✖ Banned,✖ Imprisonment as punishment,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,Ambiguous,✔ Legal,✖ Not banned,N/A
zambia,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,Ambiguous,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,Ambiguous,✖ Illegal,Unknown,"✖ Don't Ask, Don't Tell",N/A,✖ Not banned,N/A
solomon-islands,✖ Illegal (imprisonment as punishment),✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,N/A
bangladesh,✖ Illegal (up to life in prison as punishment),✖ Banned,✖ State-enforced,"✔ Legal, no restrictions",✖ Restricted,✔ Recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,Ambiguous,✖ Not banned,N/A
gambia,✖ Illegal (up to life in prison as punishment),✖ Banned,✔ No censorship,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
sudan,✖ Illegal (up to life in prison as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,Unknown,✖ Not banned,N/A
tanzania,✖ Illegal (up to life in prison as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✔ Legal,✖ Not banned,N/A
afghanistan,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
brunei,✖ Illegal (death penalty as punishment),✖ Banned,✖ State-enforced,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
iran,✖ Illegal (death penalty as punishment),✖ Banned,✖ Other punishment,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
saudi-arabia,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,✖ Not banned,✖ Illegal,✔ Legal,✖ Not banned,N/A
united-arab-emirates,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
yemen,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,Ambiguous,✖ Not banned,N/A
mauritania,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Banned,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),Unknown,N/A
nigeria,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,✖ Illegal,✖ Restricted,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,Ambiguous,✖ Not banned,N/A
somalia,✖ Illegal (death penalty as punishment),✖ Banned,N/A,✖ Illegal,✖ Banned,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✖ Illegal,Ambiguous,✖ Not banned,N/A
uganda,✖ Illegal (death penalty as punishment),✖ Banned,✖ Imprisonment as punishment,Ambiguous,"✖ Legal, but banned for minors",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,Unknown,✖ Not banned,N/A
indonesia,Varies by Region,✖ Banned,✖ State-enforced,"✖ Legal, but requires surgery",✖ Restricted,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,Unknown,Ambiguous,Unknown,✖ Illegal,Ambiguous,Unknown,✔ Equal
lebanon,Ambiguous,✖ Unrecognized,Ambiguous,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✖ Not banned,N/A
palestine,Varies by Region,✖ Unrecognized,Varies by Region,Ambiguous,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✖ Not banned,N/A,✖ Banned (indefinite deferral),✖ Not banned,Varies by Region
russia,Varies by Region,✖ Banned,✖ Other punishment,✖ Illegal,✖ Banned,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✖ Not banned,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,Varies by Region
egypt,Ambiguous,✖ Banned,✖ Imprisonment as punishment,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,N/A
