,Homosexuality,Gay Marriage,Censorship,Changing Gender,Gender-Affirming Care,Non-Binary Gender Recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Intersex Infant Surgery,Military,Donating Blood,Conversion Therapy,Age of Consent
slovakia,✔ Legal,✖ Unregistered cohabitation,Ambiguous,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,✖ Not banned,✔ Legal,✖ Banned (1-year deferral),✖ Not banned,✔ Equal
slovenia,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
spain,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,Varies by Region,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Full ban,✔ Legal,✔ Legal,✔ Banned,✔ Equal
sweden,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis","✖ Legal, but restricted for minors",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Not banned,✔ Legal,✖ Banned (6-month deferral),✖ Not banned,✔ Equal
switzerland,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✔ Legal,✖ Not banned,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,Varies by Region,✔ Equal
turkey,✔ Legal,✖ Unrecognized,✖ State-enforced,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,✖ Not banned,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
ukraine,✔ Legal,✖ Banned,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
united-kingdom,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis","✖ Legal, but restricted for minors",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
vatican-city,✔ Legal,✖ Banned,✖ Other punishment,✖ Illegal,Unknown,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,N/A,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",N/A,✖ Not banned,✔ Equal
antigua-and-barbuda,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,Unknown,✔ Legal,✔ Legal,Ambiguous,✔ Equal
bahamas,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✔ Legal,✔ Legal,✖ Not banned,✖ Unequal
barbados,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
belize,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,Unknown,Ambiguous,✔ Legal,✖ Not banned,✔ Equal
canada,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✔ Banned,✔ Equal
costa-rica,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,Ambiguous,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✔ Legal,✖ Not banned,N/A,✔ Legal,✖ Not banned,✔ Equal
cuba,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✖ Not banned,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
dominica,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,Unknown,N/A,✔ Legal,✖ Not banned,✔ Equal
dominican-republic,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,Ambiguous,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
el-salvador,✔ Legal,✖ Unrecognized,✖ State-enforced,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal with restrictions,✖ Not banned,✔ Equal
guatemala,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",Unknown,✖ Not banned,✔ Equal
haiti,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,Ambiguous,✔ Legal,✖ Not banned,✔ Equal
honduras,✔ Legal,✖ Banned,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
mexico,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, no restrictions",✔ Legal,✔ Recognized,✔ Illegal,Varies by Region,✖ Sexual orientation only,Varies by Region,Unknown,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,Varies by Region,✔ Equal
nicaragua,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,Unknown,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
panama,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,N/A,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
saint-kitts-and-nevis,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,Unknown,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
trinidad-and-tobago,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✔ Legal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Unknown,✔ Legal,✖ Banned (less than 6-month deferral),✖ Not banned,✔ Equal
united-states,✔ Legal,✔ Legal,Varies by Region,Varies by Region,Varies by Region,✔ Recognized,Varies by Region,✔ Sexual orientation and gender identity,Varies by Region,✔ Legal,Varies by Region,✔ Legal,✔ Legal,Varies by Region,✔ Equal
