   Algeria,273 954,262 032,250 110,197 728,217 268,239 473,250 378,150 234,143 696,137 158,108 434,114 894,126 522,132 142,123 720,118 336,112 952,89 294,102 374,112 951,118 236
   Egypt,173 833,166 955,184 774,285 006,310 017,353 641,543 937,91 995,88 545,98 224,165 211,174 104,207 433,289 552,81 838,78 410,86 550,119 795,135 913,146 208,254 385
   Libya,457 075,508 041,567 436,625 412,687 192,771 146,826 537,242 707,300 906,368 950,445 685,491 303,549 153,593 797,214 368,207 135,198 486,179 727,195 889,221 993,232 740
   Morocco,54 895,50 360,53 034,56 222,71 189,92 424,102 358,29 024,26 264,27 233,28 486,35 881,46 387,52 707,25 871,24 096,25 801,27 736,35 308,46 037,49 651
   Sudan,1 402 896,1 053 396,805 086,546 419,618 709,620 523,1 379 147,696 385,525 701,404 618,278 084,314 552,311 885,685 177,706 511,527 695,400 468,268 335,304 157,308 638,693 970
   Tunisia,37 984,37 867,36 719,35 040,43 172,56 532,60 145,18 900,19 045,18 679,18 000,22 236,29 253,31 474,19 084,18 822,18 040,17 040,20 936,27 279,28 671
   Western Sahara,2 688,2 989,3 289,3 891,4 493,5 179,5 424,1 465,1 651,1 837,2 224,2 612,3 059,3 205,1 223,1 338,1 452,1 667,1 881,2 120,2 219
   Botswana,27 510,40 168,74 934,84 661,94 863,103 053,110 268,16 614,23 517,43 840,49 159,54 019,58 651,62 817,10 896,16 651,31 094,35 502,40 844,44 402,47 451
   Eswatini,74 991,35 157,34 084,33 392,32 637,32 352,32 858,39 905,18 701,17 921,17 369,16 790,16 627,16 921,35 086,16 456,16 163,16 023,15 847,15 725,15 937
   Lesotho,8 240,7 204,6 167,6 290,6 414,9 152,12 060,4 318,3 827,3 335,3 402,3 469,5 037,6 537,3 922,3 377,2 832,2 888,2 945,4 115,5 523
   Namibia,120 641,115 372,135 547,107 347,103 826,101 618,109 391,63 748,61 310,73 154,57 625,55 803,54 739,59 024,56 893,54 062,62 393,49 722,48 023,46 879,50 367
   South Africa,1 163 883,1 003 807,1 016 963,1 351 031,2 114 801,3 231 728,2 860 495,717 227,611 083,607 602,782 272,1 221 739,1 770 914,1 627 294,446 656,392 724,409 361,568 759,893 062,1 460 814,1 233 201
   Benin,76 751,105 703,134 655,248 320,309 225,366 284,394 276,40 418,56 304,72 190,122 368,143 632,172 056,185 619,36 333,49 399,62 465,125 952,165 593,194 228,208 657
   Burkina Faso,349 652,464 104,520 363,597 658,674 438,704 676,723 989,167 834,223 156,250 555,285 871,320 939,335 328,344 331,181 818,240 948,269 808,311 787,353 499,369 348,379 658
   Cabo Verde,8 931,9 979,11 027,12 700,14 373,14 924,15 788,4 429,5 091,5 753,6 523,7 293,7 547,7 985,4 502,4 888,5 274,6 177,7 080,7 377,7 803
   Cote d'Ivoire,1 816 426,2 076 394,2 163 644,2 265 090,2 366 537,2 470 613,2 564 857,1 011 749,1 150 710,1 198 496,1 254 690,1 310 459,1 368 110,1 420 248,804 677,925 684,965 148,1 010 400,1 056 078,1 102 503,1 144 609
   Gambia,118 123,150 890,182 514,181 839,185 837,192 540,215 659,66 306,82 048,97 138,96 196,98 123,101 501,113 766,51 817,68 842,85 376,85 643,87 714,91 039,101 893
   Ghana,164 851,252 879,191 601,309 932,337 766,414 744,476 412,83 030,127 423,97 279,159 527,180 030,221 026,254 403,81 821,125 456,94 322,150 405,157 736,193 718,222 009
   Guinea,403 621,774 505,560 075,233 419,178 762,126 657,121 437,201 260,386 537,279 108,113 528,93 267,74 193,71 385,202 361,387 968,280 967,119 891,85 495,52 464,50 052
   Guinea-Bissau,15 368,27 961,20 450,20 902,21 391,22 333,17 945,7 689,13 833,10 155,10 380,10 463,10 826,8 867,7 679,14 128,10 295,10 522,10 928,11 507,9 078
   Liberia,94 964,208 563,151 868,87 217,99 165,112 111,87 947,53 924,111 647,82 129,51 197,56 902,64 079,50 694,41 040,96 916,69 739,36 020,42 263,48 032,37 253
   Mali,160 736,176 187,189 475,258 630,341 078,420 504,485 829,82 049,90 871,97 752,133 344,173 088,213 218,246 308,78 687,85 316,91 723,125 286,167 990,207 286,239 521
   Mauritania,111 650,89 562,57 366,58 211,84 920,166 552,182 286,57 569,47 015,31 163,32 642,48 746,94 070,103 203,54 081,42 547,26 203,25 569,36 174,72 482,79 083
   Niger,115 464,145 999,122 260,124 509,126 482,252 998,348 056,55 222,69 751,58 192,59 194,60 042,119 915,162 019,60 242,76 248,64 068,65 315,66 440,133 083,186 037
   Nigeria,456 621,462 999,487 882,969 714,990 494,1 199 115,1 308 568,256 166,258 091,270 211,564 612,576 648,657 887,713 678,200 455,204 908,217 671,405 102,413 846,541 228,594 890
