,1990,1995,2000,2005,2010,2015,2020
Nepal,429 974,690 225,717 900,680 729,581 889,509 471,487 564
Pakistan,6 208 204,3 669 308,4 181 912,3 174 558,3 943 681,3 506 520,3 276 580
Sri Lanka,41 561,40 841,40 132,39 526,38 959,39 706,40 254
Armenia,658 789,693 999,657 900,469 189,211 147,191 199,190 349
Azerbaijan,360 600,344 070,327 540,301 834,276 901,264 359,252 228
Bahrain,173 212,205 979,239 361,404 018,666 406,722 487,936 094
Cyprus,43 805,61 941,80 076,122 849,188 472,176 693,190 366
Georgia,304 470,152 235,76 117,71 296,73 078,76 685,79 368
Iraq,83 638,199 460,210 525,134 863,120 466,359 352,365 766
Israel,1 632 704,1 792 185,1 851 309,1 889 503,1 956 190,2 011 727,1 953 575
Jordan,1 146 349,1 537 097,1 927 845,2 198 740,2 786 853,3 166 961,3 457 691
Kuwait,1 074 391,921 954,1 127 640,1 333 530,1 874 812,2 866 136,3 110 159
Lebanon,523 693,608 303,692 913,742 243,793 191,1 916 259,1 712 762
Oman,304 000,539 643,623 608,666 164,816 234,1 856 226,2 372 836
Qatar,309 753,361 673,359 697,646 026,1 456 413,1 687 640,2 226 192
Saudi Arabia,4 998 445,5 122 702,5 263 387,6 501 819,8 429 956,10 771 366,13 454 842
State of Palestine,288 332,281 767,275 202,274 520,273 840,273 163,272 784
Syrian Arab Republic,714 140,830 610,834 916,882 398,1 783 595,835 716,868 711
Turkey,1 163 686,1 216 173,1 280 963,1 324 108,1 373 749,4 346 197,6 052 652
United Arab Emirates,1 306 574,1 824 118,2 447 010,3 281 115,7 316 697,7 995 126,8 716 332
Yemen,118 863,136 515,144 940,171 871,288 394,379 882,387 113
Belarus,1 248 977,1 186 282,1 123 586,1 106 982,1 090 378,1 082 905,1 067 090
Bulgaria,21 510,32 435,43 360,61 074,76 287,123 803,184 363
Czechia,110 394,165 592,220 789,322 540,398 493,416 454,540 921
Hungary,347 510,322 234,296 957,366 787,436 616,475 508,584 567
Poland,1 127 771,964 725,825 251,722 509,642 417,611 855,817 254
Republic of Moldova,544 162,367 231,247 828,171 122,129 488,106 374,104 438
Romania,135 825,135 037,134 254,145 162,177 211,281 048,705 310
Russian Federation,11 524 948,11 928 927,11 900 297,11 667 588,11 194 710,11 643 276,11 636 911
Slovakia,41 295,69 323,116 376,130 491,146 319,177 624,197 161
Ukraine,6 892 920,6 172 338,5 527 087,5 050 302,4 818 767,4 915 142,4 997 387
Denmark,235 189,303 108,371 026,440 383,500 772,595 876,717 574
Estonia,381 997,315 755,249 512,233 701,217 890,194 664,199 277
Faroe Islands,4 285,2 900,3 593,4 583,5 096,5 485,6 812
Finland,63 255,99 729,136 203,192 169,228 481,314 856,386 052
Iceland,9 584,12 738,15 892,25 492,35 091,39 072,65 424
Ireland,227 961,226 892,350 552,589 046,730 542,759 256,871 256
Isle of Man,34 769,36 886,39 002,41 475,43 447,42 238,43 040
Latvia,646 007,538 093,430 178,376 725,313 786,265 418,239 422
Lithuania,349 258,273 587,214 311,201 209,160 772,136 021,145 184
Norway,192 587,233 302,292 440,361 144,524 601,746 375,852 238
Sweden,788 767,936 022,1 003 798,1 125 790,1 337 214,1 602 522,2 003 908
United Kingdom,3 650 286,4 155 293,4 730 165,5 926 156,7 119 664,8 406 996,9 359 587
Albania,66 013,71 354,76 695,64 739,52 784,52 031,48 810
Andorra,38 891,44 206,42 147,50 298,52 053,42 264,45 574
Bosnia and Herzegovina,56 000,69 476,82 952,47 287,38 945,38 597,36 042
Croatia,475 438,674 085,585 298,579 273,573 248,561 093,528 056
Gibraltar,8 709,8 381,8 054,9 211,10 369,11 065,11 190
Greece,618 139,857 850,1 111 665,1 190 707,1 321 149,1 242 924,1 340 456
Holy See,762,778,790,798,783,790,809
Italy,1 428 219,1 774 954,2 121 688,3 954 790,5 787 893,5 805 328,6 386 998
Malta,15 077,17 740,21 521,24 560,33 008,52 642,114 760
Montenegro,..,..,..,..,78 512,71 719,70 999
North Macedonia,95 142,109 343,125 665,127 667,129 701,130 730,131 311
Portugal,435 782,532 822,651 472,771 184,762 825,864 814,1 001 963
San Marino,3 310,3 659,4 045,4 218,4 880,5 195,5 543
Serbia,99 269,870 980,977 873,854 848,826 275,807 441,823 011
Slovenia,178 077,174 419,214 508,217 218,253 786,237 616,277 964
Spain,821 605,1 020 067,1 657 285,4 107 226,6 280 062,5 891 208,6 842 202
Austria,793 239,894 893,996 547,1 127 164,1 274 901,1 483 123,1 738 183
Belgium,1 280 583,1 288 003,1 268 368,1 248 733,1 503 806,1 783 488,2 005 479
France,5 897 267,6 087 993,6 278 718,6 737 600,7 309 986,7 878 338,8 524 876
Germany,5 936 181,7 464 406,8 992 631,9 402 447,9 812 263,10 220 418,15 762 457
Liechtenstein,10 906,13 311,15 483,18 898,22 342,23 799,25 877
Luxembourg,113 795,126 106,139 750,150 618,163 142,248 888,298 062
Monaco,20 359,21 060,21 787,21 312,21 132,25 983,26 601
Netherlands,1 182 263,1 346 164,1 556 337,1 736 127,1 832 510,1 996 318,2 358 333
Switzerland,1 392 282,1 478 829,1 570 756,1 805 437,2 075 182,2 258 196,2 491 249
Anguilla,2 570,3 317,4 063,4 684,5 103,5 471,5 715
Antigua and Barbuda,12 029,17 550,23 071,24 741,26 412,28 082,29 386
Aruba,14 444,22 274,30 104,32 540,34 328,36 114,53 593
Bahamas,26 855,31 654,36 454,45 531,54 745,59 241,63 583
Barbados,24 024,26 224,28 424,30 624,32 825,34 475,34 869
"Bonaire, Sint Eustatius and Saba",13 010,15 101,14 387,14 399,20 941,24 571,26 221
British Virgin Islands,8 035,10 046,12 958,15 016,17 076,19 535,22 164
Cayman Islands,9 315,12 666,19 176,20 679,24 062,26 193,29 242
Cuba,34 555,26 187,18 545,11 693,7 373,4 649,3 024
Cura‡ao,..,..,..,..,34 630,37 611,57 210
Dominica,2 519,3 121,3 723,4 744,8 110,8 093,8 284
Dominican Republic,291 151,323 381,355 611,375 417,395 479,549 289,603 794
Grenada,4 263,5 544,6 825,6 902,6 980,7 057,7 213
Guadeloupe,65 944,74 566,83 188,89 065,94 942,90 956,90 206
Haiti,19 084,18 129,17 222,16 360,17 182,18 047,18 884
Jamaica,20 475,22 713,24 952,24 284,23 677,23 165,23 629
Martinique,38 705,46 599,54 492,57 034,59 575,69 174,68 624
Montserrat,2 013,1 612,1 211,1 244,1 291,1 351,1 379
Puerto Rico,321 909,338 067,355 038,352 144,304 969,280 494,247 132
Saint Kitts and Nevis,3 210,4 248,5 871,6 682,7 245,7 443,7 725
Saint Lucia,5 305,7 155,9 871,9 839,9 050,8 673,8 338
Saint Vincent and the Grenadines,3 970,4 135,4 307,4 436,4 569,4 637,4 738
Sint Maarten (Dutch part),..,..,..,13 099,26 203,27 295,28 845
Trinidad and Tobago,50 666,45 994,41 753,44 812,48 226,50 021,78 849
Turks and Caicos Islands,5 062,7 039,9 015,13 115,17 216,22 723,25 748
United States Virgin Islands,51 970,54 241,56 611,56 647,56 684,56 721,56 753
Belize, 30 404,33 446,36 488,41 438,46 390,54 615,62 043
Costa Rica,417 628,364 287,310 946,358 398,405 779,411 697,520 729
El Salvador,47 360,39 537,31 713,36 029,40 342,42 059,42 767
Guatemala,264 257,156 188,48 119,57 214,66 386,74 852,84 311
Honduras,270 423,149 442,28 461,27 934,27 288,38 330,39 195
Mexico,695 674,458 549,538 051,712 648,969 710,1 013 691,1 197 624
Nicaragua,41 421,26 619,30 389,34 919,37 345,40 261,42 167
Panama,62 744,70 848,83 410,109 461,157 788,184 710,313 165
Argentina,1 649 919,1 595 069,1 540 219,1 674 163,1 805 957,2 086 301,2 281 728
Bolivia (Plurinational State of),73 758,83 598,92 658,107 745,122 846,143 008,164 121
Brazil,798 517,741 557,684 596,638 582,592 640,710 304,1 079 708
Chile,107 501,142 417,177 332,276 360,375 388,639 724,1 645 015
Colombia,104 277,106 943,109 609,106 523,130 309,159 407,1 905 393
Ecuador,78 663,115 093,151 523,189 893,375 253,387 513,784 787
Falkland Islands (Malvinas),855,868,1 067,1 166,1 436,1 571,1 957
French Guiana,63 612,70 131,76 649,86 468,96 288,106 108,119 249
Guyana,4 095,6 352,8 610,10 868,8 182,8 661,31 169
Paraguay,195 884,186 570,176 608,168 243,160 299,156 462,169 567
Peru,56 688,56 732,66 300,77 877,104 706,154 774,1 224 519
Suriname,18 083,22 320,27 506,33 662,39 713,43 127,47 801
Uruguay,98 116,93 428,88 874,82 317,76 303,78 799,108 267
Venezuela (Bolivarian Republic of),1 025 009,1 019 996,1 013 738,1 076 474,1 347 347,1 404 448,1 324 193
Bermuda,15 683,16 676,17 684,18 108,18 547,19 212,19 739
Canada,4 333 318,4 864 778,5 511 914,6 078 985,6 761 226,7 428 657,8 049 323
Greenland,9 282,7 121,6 601,6 556,6 091,6 009,5 899
