,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYR,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AZE,53,65,34,41,61,59,51,59,30,40,0,50,37,53,56,64,35,61,59,38,52,63,64,49,61,64,63,63,42,22,37,59,58,58,44,41,51,60,6,52,62,60,44,30,35,54,9,35,62,62,59,57,64,36,32,64,37,58,31,19,61,30,34,60,43,63,55,46,39,62,48,64,61,33,54,33,60,52,43,53,63,36,14,37,65,62,38,59,60,62,63,47,62,36,59,65,62,20,61,63,42,63,63,34,36,33,58,34,40,55,62,58,26,14,64,46,36,64,65,62,64,48,60,64,63,48,56,59,37,37,63,25,41,60,53,56,64,64,34,48,34,44,37,63,61,31,46,43,57,54,65,61,40,63,64,41,34,39,18,3,51,37,38,38,48,20,51,60,55,63,59,56,35,3,64,64,40,41,49,65,31,52,14,60,65,1,60,49,47,63,61,59,53
BDI,49,55,27,34,52,50,40,55,25,33,50,0,29,45,50,56,28,53,55,31,43,53,52,45,53,54,54,55,41,23,30,49,47,52,46,44,46,51,1,50,53,48,34,26,28,50,9,28,55,51,53,47,55,29,25,55,29,52,26,19,54,25,26,56,34,55,54,43,31,54,48,54,53,27,52,28,50,44,34,42,54,29,16,29,56,53,32,50,53,52,53,46,54,28,50,53,52,22,53,54,34,53,53,27,28,26,50,27,33,52,53,51,27,10,54,35,29,55,56,54,55,48,54,55,53,48,54,47,29,30,54,27,34,51,43,52,55,53,34,50,25,31,29,55,52,24,35,46,49,49,56,52,36,54,55,34,32,31,17,3,51,29,30,30,49,22,40,52,53,55,47,43,24,4,56,53,31,35,53,53,23,53,17,50,54,1,50,48,46,54,52,50,44
BEL,41,47,72,68,46,55,44,45,66,68,37,29,0,40,37,47,73,46,48,68,31,46,42,44,49,49,50,49,24,58,65,54,37,49,29,28,36,54,8,41,54,35,68,69,74,35,6,74,56,39,52,40,41,71,71,39,74,44,70,44,43,69,63,49,35,46,36,28,73,43,43,52,50,72,43,71,43,39,69,30,44,72,45,74,50,50,67,40,43,40,48,42,43,70,47,41,44,45,44,44,68,41,45,72,74,72,48,72,66,34,52,53,49,36,43,70,73,47,45,42,49,46,52,50,42,32,39,34,75,73,48,20,68,43,37,53,56,51,44,42,72,25,74,54,49,69,35,29,43,33,48,50,31,49,50,67,26,48,16,5,43,74,75,75,31,22,26,47,37,51,37,37,34,8,49,46,62,33,30,40,66,49,52,38,47,1,40,40,40,50,44,43,34
BEN,54,58,38,43,55,57,43,55,33,43,53,45,40,0,54,58,39,56,56,42,42,59,54,46,59,57,60,60,36,28,40,58,46,57,37,39,44,58,10,55,60,48,46,34,39,49,10,39,60,51,58,49,57,40,36,55,40,58,37,24,58,36,37,57,38,60,52,38,42,57,47,59,58,38,53,36,52,47,44,43,55,40,17,40,61,58,42,51,55,53,59,47,57,39,55,54,55,26,56,59,44,54,57,38,39,37,54,38,42,49,59,56,30,18,55,46,40,55,57,57,60,50,59,59,54,50,51,49,40,42,59,31,44,54,44,55,61,60,38,47,36,36,40,59,56,35,37,41,53,43,59,57,39,60,58,43,33,37,17,5,49,40,41,41,45,23,41,58,48,59,50,50,36,6,60,58,45,38,45,54,36,51,20,52,60,1,50,49,48,58,54,54,44
BFA,56,63,37,43,57,58,46,58,31,43,56,50,37,54,0,62,37,58,58,40,46,61,60,49,63,60,64,61,40,29,41,60,51,59,43,41,51,60,6,54,60,53,44,34,36,52,7,36,61,56,61,52,62,38,34,60,37,60,34,22,62,33,34,60,45,63,55,47,39,62,50,61,60,37,56,33,57,48,43,47,58,38,13,37,63,62,39,54,58,59,63,50,60,36,58,59,59,22,58,61,43,60,61,35,37,34,58,36,41,53,63,57,29,12,60,45,38,61,63,59,62,51,62,61,60,49,52,54,37,39,62,27,45,57,47,57,62,61,37,49,33,38,37,61,57,35,40,44,54,49,62,58,41,63,64,43,29,39,16,1,51,37,38,38,53,21,47,60,55,62,55,52,33,1,63,61,41,40,50,59,33,56,16,57,62,1,55,54,50,59,60,57,52
BGD,61,75,44,51,72,70,57,69,39,50,64,56,47,58,62,0,45,74,69,47,54,72,70,57,72,76,74,73,45,32,47,69,64,67,50,48,57,70,7,59,71,65,53,40,45,60,11,45,72,68,70,67,71,45,42,70,46,64,41,26,70,40,43,70,48,70,64,50,48,71,57,74,68,43,61,42,70,62,52,59,74,46,21,46,75,73,50,68,68,69,73,56,70,45,71,71,71,26,72,71,51,71,70,43,46,43,70,44,49,59,75,68,34,18,71,55,46,73,72,70,74,59,71,75,70,56,65,63,46,47,74,31,51,72,61,66,75,73,43,57,43,47,47,73,72,41,48,50,69,60,76,73,47,72,75,50,38,45,21,3,60,46,48,47,55,25,56,69,62,74,64,61,41,7,77,72,49,44,56,69,40,64,25,67,74,1,70,60,52,75,69,67,60
BGR,40,45,73,68,44,54,42,44,66,70,35,28,73,39,37,45,0,44,46,68,30,44,40,46,48,47,50,47,23,59,66,53,35,47,27,27,35,53,8,40,53,33,67,70,74,34,5,73,55,37,51,39,40,71,72,38,73,43,68,45,41,69,62,48,34,45,34,28,73,41,45,50,49,72,42,71,42,37,67,28,42,72,45,73,48,49,67,38,42,39,47,41,41,69,46,39,42,44,42,42,67,40,43,72,72,71,47,71,66,33,51,51,49,35,41,68,73,45,43,40,47,44,52,48,40,31,37,32,74,72,47,22,68,42,35,51,54,50,44,41,70,23,72,52,47,70,33,27,41,31,46,48,31,47,49,67,25,47,15,4,42,75,73,75,31,20,25,46,36,50,35,36,34,7,47,44,62,30,29,38,65,49,52,37,45,1,38,40,39,48,42,42,33
BHR,60,72,43,50,77,71,53,67,38,49,61,53,46,56,58,74,44,0,67,46,53,70,68,58,70,78,72,72,42,31,46,69,63,66,48,48,54,69,10,57,71,64,53,39,44,61,12,44,72,69,70,72,66,44,42,67,46,62,40,25,67,39,43,70,46,68,60,47,48,68,56,73,66,42,59,41,72,60,51,60,75,45,22,45,73,76,49,64,67,66,74,55,69,45,76,69,71,25,74,70,50,69,68,42,45,43,73,43,48,57,74,67,33,19,68,54,45,69,70,71,74,57,70,77,68,55,66,62,45,46,73,31,50,76,62,65,75,71,41,57,43,48,46,73,77,41,46,49,74,60,72,72,46,70,71,49,40,46,21,5,58,45,47,46,52,26,57,68,59,74,62,59,42,9,75,72,49,43,52,66,40,64,25,64,72,1,70,58,50,78,67,66,58
BHS,63,68,45,52,65,69,52,70,42,51,59,55,48,56,58,69,46,67,0,49,50,70,63,57,72,69,70,72,42,35,48,68,57,65,48,50,57,69,4,60,71,58,52,43,46,55,11,46,73,60,68,60,66,47,43,65,47,63,42,31,66,41,43,70,45,68,58,50,49,68,60,71,68,44,64,45,62,54,53,52,66,47,24,47,74,68,51,58,63,61,68,59,68,46,66,62,65,32,66,69,52,62,67,44,47,44,65,45,50,57,71,69,39,19,65,54,47,67,66,66,69,61,70,68,63,52,59,57,47,48,68,33,52,65,52,68,72,68,46,59,44,41,48,72,68,42,44,50,63,53,69,67,42,69,69,52,39,45,21,5,63,47,49,48,52,27,50,66,58,69,56,54,40,8,72,67,46,48,55,63,41,66,28,59,71,1,60,58,57,70,63,64,55
BIH,43,48,67,67,46,56,44,46,60,66,38,31,68,42,40,47,68,46,49,0,33,46,43,45,50,49,52,50,25,55,63,54,37,49,29,29,37,55,8,42,55,36,67,63,67,36,6,67,57,39,53,41,43,68,65,41,68,46,63,41,44,63,61,51,37,48,36,31,69,44,45,52,51,66,45,64,44,39,66,31,45,69,38,68,51,51,64,39,44,42,49,43,44,65,48,41,44,41,44,45,66,42,46,65,68,65,48,67,64,36,53,52,47,34,44,67,69,47,46,43,50,45,54,50,43,33,38,35,68,68,49,20,67,44,37,53,56,52,42,43,64,26,68,54,49,64,33,28,43,34,49,50,33,49,51,65,27,50,16,4,43,68,69,69,33,21,28,49,39,52,38,38,35,6,49,46,61,33,31,41,61,50,45,40,48,1,40,42,41,50,45,44,36
